"id","hp","speed","attack","defense","special-attack","special-defense"
1, 45, 45, 49, 49, 65, 65
2, 60, 60, 62, 63, 80, 80
3, 80, 80, 82, 83, 100, 100
4, 39, 65, 52, 43, 60, 50
5, 58, 80, 64, 58, 80, 65
6, 78, 100, 84, 78, 109, 85
7, 44, 43, 48, 65, 50, 64
8, 59, 58, 63, 80, 65, 80
9, 79, 78, 83, 100, 85, 105
10, 45, 45, 30, 35, 20, 20
11, 50, 30, 20, 55, 25, 25
12, 60, 70, 45, 50, 90, 80
13, 40, 50, 35, 30, 20, 20
14, 45, 35, 25, 50, 25, 25
15, 65, 75, 90, 40, 45, 80
16, 40, 56, 45, 40, 35, 35
17, 63, 71, 60, 55, 50, 50
18, 83, 101, 80, 75, 70, 70
19, 30, 72, 56, 35, 25, 35
20, 55, 97, 81, 60, 50, 70
21, 40, 70, 60, 30, 31, 31
22, 65, 100, 90, 65, 61, 61
23, 35, 55, 60, 44, 40, 54
24, 60, 80, 95, 69, 65, 79
25, 35, 90, 55, 40, 50, 50
26, 60, 110, 90, 55, 90, 80
27, 50, 40, 75, 85, 20, 30
28, 75, 65, 100, 110, 45, 55
29, 55, 41, 47, 52, 40, 40
30, 70, 56, 62, 67, 55, 55
31, 90, 76, 92, 87, 75, 85
32, 46, 50, 57, 40, 40, 40
33, 61, 65, 72, 57, 55, 55
34, 81, 85, 102, 77, 85, 75
35, 70, 35, 45, 48, 60, 65
36, 95, 60, 70, 73, 95, 90
37, 38, 65, 41, 40, 50, 65
38, 73, 100, 76, 75, 81, 100
39, 115, 20, 45, 20, 45, 25
40, 140, 45, 70, 45, 85, 50
41, 40, 55, 45, 35, 30, 40
42, 75, 90, 80, 70, 65, 75
43, 45, 30, 50, 55, 75, 65
44, 60, 40, 65, 70, 85, 75
45, 75, 50, 80, 85, 110, 90
46, 35, 25, 70, 55, 45, 55
47, 60, 30, 95, 80, 60, 80
48, 60, 45, 55, 50, 40, 55
49, 70, 90, 65, 60, 90, 75
50, 10, 95, 55, 25, 35, 45
51, 35, 120, 100, 50, 50, 70
52, 40, 90, 45, 35, 40, 40
53, 65, 115, 70, 60, 65, 65
54, 50, 55, 52, 48, 65, 50
55, 80, 85, 82, 78, 95, 80
56, 40, 70, 80, 35, 35, 45
57, 65, 95, 105, 60, 60, 70
58, 55, 60, 70, 45, 70, 50
59, 90, 95, 110, 80, 100, 80
60, 40, 90, 50, 40, 40, 40
61, 65, 90, 65, 65, 50, 50
62, 90, 70, 95, 95, 70, 90
63, 25, 90, 20, 15, 105, 55
64, 40, 105, 35, 30, 120, 70
65, 55, 120, 50, 45, 135, 95
66, 70, 35, 80, 50, 35, 35
67, 80, 45, 100, 70, 50, 60
68, 90, 55, 130, 80, 65, 85
69, 50, 40, 75, 35, 70, 30
70, 65, 55, 90, 50, 85, 45
71, 80, 70, 105, 65, 100, 70
72, 40, 70, 40, 35, 50, 100
73, 80, 100, 70, 65, 80, 120
74, 40, 20, 80, 100, 30, 30
75, 55, 35, 95, 115, 45, 45
76, 80, 45, 120, 130, 55, 65
77, 50, 90, 85, 55, 65, 65
78, 65, 105, 100, 70, 80, 80
79, 90, 15, 65, 65, 40, 40
80, 95, 30, 75, 110, 100, 80
81, 25, 45, 35, 70, 95, 55
82, 50, 70, 60, 95, 120, 70
83, 52, 60, 90, 55, 58, 62
84, 35, 75, 85, 45, 35, 35
85, 60, 110, 110, 70, 60, 60
86, 65, 45, 45, 55, 45, 70
87, 90, 70, 70, 80, 70, 95
88, 65, 110, 65, 60, 130, 95
89, 80, 25, 80, 50, 40, 50
90, 105, 50, 105, 75, 65, 100
91, 30, 40, 65, 100, 45, 25
92, 50, 70, 95, 180, 85, 45
93, 30, 80, 35, 30, 100, 35
94, 45, 95, 50, 45, 115, 55
95, 60, 110, 65, 60, 130, 75
96, 35, 70, 45, 160, 30, 45
97, 60, 42, 48, 45, 43, 90
98, 85, 67, 73, 70, 73, 115
99, 30, 50, 105, 90, 25, 25
100, 55, 75, 130, 115, 50, 50
101, 40, 100, 30, 50, 55, 55
102, 60, 150, 50, 70, 80, 80
103, 60, 40, 40, 80, 60, 45
104, 95, 55, 95, 85, 125, 75
105, 50, 35, 50, 95, 40, 50
106, 60, 45, 80, 110, 50, 80
107, 50, 87, 120, 53, 35, 110
108, 50, 76, 105, 79, 35, 110
109, 90, 30, 55, 75, 60, 75
110, 40, 35, 65, 95, 60, 45
111, 65, 60, 90, 120, 85, 70
112, 80, 25, 85, 95, 30, 30
113, 105, 40, 130, 120, 45, 45
114, 250, 50, 5, 5, 35, 105
115, 65, 60, 55, 115, 100, 40
116, 105, 90, 95, 80, 40, 80
117, 30, 60, 40, 70, 70, 25
118, 55, 85, 65, 95, 95, 45
119, 45, 63, 67, 60, 35, 50
120, 80, 68, 92, 65, 65, 80
121, 30, 85, 45, 55, 70, 55
122, 60, 115, 75, 85, 100, 85
123, 40, 90, 45, 65, 100, 120
124, 70, 105, 110, 80, 55, 80
125, 65, 95, 50, 35, 115, 95
126, 65, 105, 83, 57, 95, 85
127, 65, 93, 95, 57, 100, 85
128, 65, 85, 125, 100, 55, 70
129, 75, 110, 100, 95, 40, 70
130, 20, 80, 10, 55, 15, 20
131, 95, 81, 125, 79, 60, 100
132, 130, 60, 85, 80, 85, 95
133, 48, 48, 48, 48, 48, 48
134, 55, 55, 55, 50, 45, 65
135, 130, 65, 65, 60, 110, 95
136, 65, 130, 65, 60, 110, 95
137, 65, 65, 130, 60, 95, 110
138, 65, 40, 60, 70, 85, 75
139, 35, 35, 40, 100, 90, 55
140, 70, 55, 60, 125, 115, 70
141, 30, 55, 80, 90, 55, 45
142, 60, 80, 115, 105, 65, 70
143, 80, 130, 105, 65, 60, 75
144, 160, 30, 110, 65, 65, 110
145, 90, 85, 85, 100, 95, 125
146, 90, 100, 90, 85, 125, 90
147, 90, 90, 100, 90, 125, 85
148, 41, 50, 64, 45, 50, 50
149, 61, 70, 84, 65, 70, 70
150, 91, 80, 134, 95, 100, 100
151, 106, 130, 110, 90, 154, 90
152, 100, 100, 100, 100, 100, 100
153, 45, 45, 49, 65, 49, 65
154, 60, 60, 62, 80, 63, 80
155, 80, 80, 82, 100, 83, 100
156, 39, 65, 52, 43, 60, 50
157, 58, 80, 64, 58, 80, 65
158, 78, 100, 84, 78, 109, 85
159, 50, 43, 65, 64, 44, 48
160, 65, 58, 80, 80, 59, 63
161, 85, 78, 105, 100, 79, 83
162, 35, 20, 46, 34, 35, 45
163, 85, 90, 76, 64, 45, 55
164, 60, 50, 30, 30, 36, 56
165, 100, 70, 50, 50, 86, 96
166, 40, 55, 20, 30, 40, 80
167, 55, 85, 35, 50, 55, 110
168, 40, 30, 60, 40, 40, 40
169, 70, 40, 90, 70, 60, 70
170, 85, 130, 90, 80, 70, 80
171, 75, 67, 38, 38, 56, 56
172, 125, 67, 58, 58, 76, 76
173, 20, 60, 40, 15, 35, 35
174, 50, 15, 25, 28, 45, 55
175, 90, 15, 30, 15, 40, 20
176, 35, 20, 20, 65, 40, 65
177, 55, 40, 40, 85, 80, 105
178, 40, 70, 50, 45, 70, 45
179, 65, 95, 75, 70, 95, 70
180, 55, 35, 40, 40, 65, 45
181, 70, 45, 55, 55, 80, 60
182, 90, 55, 75, 85, 115, 90
183, 75, 50, 80, 95, 90, 100
184, 70, 40, 20, 50, 20, 50
185, 100, 50, 50, 80, 60, 80
186, 70, 30, 100, 115, 30, 65
187, 90, 70, 75, 75, 90, 100
188, 35, 50, 35, 40, 35, 55
189, 55, 80, 45, 50, 45, 65
190, 75, 110, 55, 70, 55, 95
191, 55, 85, 70, 55, 40, 55
192, 30, 30, 30, 30, 30, 30
193, 75, 30, 75, 55, 105, 85
194, 65, 95, 65, 45, 75, 45
195, 55, 15, 45, 45, 25, 25
196, 95, 35, 85, 85, 65, 65
197, 95, 65, 65, 110, 60, 130
198, 60, 91, 85, 42, 85, 42
199, 95, 30, 75, 80, 100, 110
200, 60, 85, 60, 60, 85, 85
201, 48, 48, 72, 48, 72, 48
202, 190, 33, 33, 58, 33, 58
203, 70, 85, 80, 65, 90, 65
204, 50, 15, 65, 90, 35, 35
205, 75, 40, 90, 140, 60, 60
206, 100, 45, 70, 70, 65, 65
207, 65, 85, 75, 105, 35, 65
208, 75, 30, 85, 200, 55, 65
209, 60, 30, 80, 50, 40, 40
210, 90, 45, 120, 75, 60, 60
211, 65, 85, 95, 85, 55, 55
212, 70, 65, 130, 100, 55, 80
213, 20, 5, 10, 230, 10, 230
214, 80, 85, 125, 75, 40, 95
215, 55, 115, 95, 55, 35, 75
216, 60, 40, 80, 50, 50, 50
217, 90, 55, 130, 75, 75, 75
218, 40, 20, 40, 40, 70, 40
219, 60, 30, 50, 120, 90, 80
220, 50, 50, 50, 40, 30, 30
221, 100, 50, 100, 80, 60, 60
222, 65, 35, 55, 95, 65, 95
223, 35, 65, 65, 35, 65, 35
224, 75, 45, 105, 75, 105, 75
225, 45, 75, 55, 45, 65, 45
226, 85, 70, 40, 70, 80, 140
227, 65, 70, 80, 140, 40, 70
228, 45, 65, 60, 30, 80, 50
229, 75, 95, 90, 50, 110, 80
230, 75, 85, 95, 95, 95, 95
231, 90, 40, 60, 60, 40, 40
232, 90, 50, 120, 120, 60, 60
233, 85, 60, 80, 90, 105, 95
234, 73, 85, 95, 62, 85, 65
235, 55, 75, 20, 35, 20, 45
236, 35, 35, 35, 35, 35, 35
237, 50, 70, 95, 95, 35, 110
238, 45, 65, 30, 15, 85, 65
239, 45, 95, 63, 37, 65, 55
240, 45, 83, 75, 37, 70, 55
241, 95, 100, 80, 105, 40, 70
242, 255, 55, 10, 10, 75, 135
243, 90, 115, 85, 75, 115, 100
244, 115, 100, 115, 85, 90, 75
245, 100, 85, 75, 115, 90, 115
246, 50, 41, 64, 50, 45, 50
247, 70, 51, 84, 70, 65, 70
248, 100, 61, 134, 110, 95, 100
249, 106, 110, 90, 130, 90, 154
250, 106, 90, 130, 90, 110, 154
251, 100, 100, 100, 100, 100, 100
252, 40, 70, 45, 35, 65, 55
253, 50, 95, 65, 45, 85, 65
254, 70, 120, 85, 65, 105, 85
255, 45, 45, 60, 40, 70, 50
256, 60, 55, 85, 60, 85, 60
257, 80, 80, 120, 70, 110, 70
258, 50, 40, 70, 50, 50, 50
259, 70, 50, 85, 70, 60, 70
260, 100, 60, 110, 90, 85, 90
261, 35, 35, 55, 35, 30, 30
262, 70, 70, 90, 70, 60, 60
263, 38, 60, 30, 41, 30, 41
264, 78, 100, 70, 61, 50, 61
265, 45, 20, 45, 35, 20, 30
266, 50, 15, 35, 55, 25, 25
267, 60, 65, 70, 50, 100, 50
268, 50, 15, 35, 55, 25, 25
269, 60, 65, 50, 70, 50, 90
270, 40, 30, 30, 30, 40, 50
271, 60, 50, 50, 50, 60, 70
272, 80, 70, 70, 70, 90, 100
273, 40, 30, 40, 50, 30, 30
274, 70, 60, 70, 40, 60, 40
275, 90, 80, 100, 60, 90, 60
276, 40, 85, 55, 30, 30, 30
277, 60, 125, 85, 60, 75, 50
278, 40, 85, 30, 30, 55, 30
279, 60, 65, 50, 100, 95, 70
280, 28, 40, 25, 25, 45, 35
281, 38, 50, 35, 35, 65, 55
282, 68, 80, 65, 65, 125, 115
283, 40, 65, 30, 32, 50, 52
284, 70, 80, 60, 62, 100, 82
285, 60, 35, 40, 60, 40, 60
286, 60, 70, 130, 80, 60, 60
287, 60, 30, 60, 60, 35, 35
288, 80, 90, 80, 80, 55, 55
289, 150, 100, 160, 100, 95, 65
290, 31, 40, 45, 90, 30, 30
291, 61, 160, 90, 45, 50, 50
292, 1, 40, 90, 45, 30, 30
293, 64, 28, 51, 23, 51, 23
294, 84, 48, 71, 43, 71, 43
295, 104, 68, 91, 63, 91, 73
296, 72, 25, 60, 30, 20, 30
297, 144, 50, 120, 60, 40, 60
298, 50, 20, 20, 40, 20, 40
299, 30, 30, 45, 135, 45, 90
300, 50, 50, 45, 45, 35, 35
301, 70, 90, 65, 65, 55, 55
302, 50, 50, 75, 75, 65, 65
303, 50, 50, 85, 85, 55, 55
304, 50, 30, 70, 100, 40, 40
305, 60, 40, 90, 140, 50, 50
306, 70, 50, 110, 180, 60, 60
307, 30, 60, 40, 55, 40, 55
308, 60, 80, 60, 75, 60, 75
309, 40, 65, 45, 40, 65, 40
310, 70, 105, 75, 60, 105, 60
311, 60, 95, 50, 40, 85, 75
312, 60, 95, 40, 50, 75, 85
313, 65, 85, 73, 75, 47, 85
314, 65, 85, 47, 75, 73, 85
315, 50, 65, 60, 45, 100, 80
316, 70, 40, 43, 53, 43, 53
317, 100, 55, 73, 83, 73, 83
318, 45, 65, 90, 20, 65, 20
319, 70, 95, 120, 40, 95, 40
320, 130, 60, 70, 35, 70, 35
321, 170, 60, 90, 45, 90, 45
322, 60, 35, 60, 40, 65, 45
323, 70, 40, 100, 70, 105, 75
324, 70, 20, 85, 140, 85, 70
325, 60, 60, 25, 35, 70, 80
326, 80, 80, 45, 65, 90, 110
327, 60, 60, 60, 60, 60, 60
328, 45, 10, 100, 45, 45, 45
329, 50, 70, 70, 50, 50, 50
330, 80, 100, 100, 80, 80, 80
331, 50, 35, 85, 40, 85, 40
332, 70, 55, 115, 60, 115, 60
333, 45, 50, 40, 60, 40, 75
334, 75, 80, 70, 90, 70, 105
335, 73, 90, 115, 60, 60, 60
336, 73, 65, 100, 60, 100, 60
337, 90, 70, 55, 65, 95, 85
338, 90, 70, 95, 85, 55, 65
339, 50, 60, 48, 43, 46, 41
340, 110, 60, 78, 73, 76, 71
341, 43, 35, 80, 65, 50, 35
342, 63, 55, 120, 85, 90, 55
343, 40, 55, 40, 55, 40, 70
344, 60, 75, 70, 105, 70, 120
345, 66, 23, 41, 77, 61, 87
346, 86, 43, 81, 97, 81, 107
347, 45, 75, 95, 50, 40, 50
348, 75, 45, 125, 100, 70, 80
349, 20, 80, 15, 20, 10, 55
350, 95, 81, 60, 79, 100, 125
351, 70, 70, 70, 70, 70, 70
352, 60, 40, 90, 70, 60, 120
353, 44, 45, 75, 35, 63, 33
354, 64, 65, 115, 65, 83, 63
355, 20, 25, 40, 90, 30, 90
356, 40, 25, 70, 130, 60, 130
357, 99, 51, 68, 83, 72, 87
358, 75, 65, 50, 80, 95, 90
359, 65, 75, 130, 60, 75, 60
360, 95, 23, 23, 48, 23, 48
361, 50, 50, 50, 50, 50, 50
362, 80, 80, 80, 80, 80, 80
363, 70, 25, 40, 50, 55, 50
364, 90, 45, 60, 70, 75, 70
365, 110, 65, 80, 90, 95, 90
366, 35, 32, 64, 85, 74, 55
367, 55, 52, 104, 105, 94, 75
368, 55, 52, 84, 105, 114, 75
369, 100, 55, 90, 130, 45, 65
370, 43, 97, 30, 55, 40, 65
371, 45, 50, 75, 60, 40, 30
372, 65, 50, 95, 100, 60, 50
373, 95, 100, 135, 80, 110, 80
374, 40, 30, 55, 80, 35, 60
375, 60, 50, 75, 100, 55, 80
376, 80, 70, 135, 130, 95, 90
377, 80, 50, 100, 200, 50, 100
378, 80, 50, 50, 100, 100, 200
379, 80, 50, 75, 150, 75, 150
380, 80, 110, 80, 90, 110, 130
381, 80, 110, 90, 80, 130, 110
382, 100, 90, 100, 90, 150, 140
383, 100, 90, 150, 140, 100, 90
384, 105, 95, 150, 90, 150, 90
385, 100, 100, 100, 100, 100, 100
386, 50, 150, 150, 50, 150, 50
387, 55, 31, 68, 64, 45, 55
388, 75, 36, 89, 85, 55, 65
389, 95, 56, 109, 105, 75, 85
390, 44, 61, 58, 44, 58, 44
391, 64, 81, 78, 52, 78, 52
392, 76, 108, 104, 71, 104, 71
393, 53, 40, 51, 53, 61, 56
394, 64, 50, 66, 68, 81, 76
395, 84, 60, 86, 88, 111, 101
396, 40, 60, 55, 30, 30, 30
397, 55, 80, 75, 50, 40, 40
398, 85, 100, 120, 70, 50, 60
399, 59, 31, 45, 40, 35, 40
400, 79, 71, 85, 60, 55, 60
401, 37, 25, 25, 41, 25, 41
402, 77, 65, 85, 51, 55, 51
403, 45, 45, 65, 34, 40, 34
404, 60, 60, 85, 49, 60, 49
405, 80, 70, 120, 79, 95, 79
406, 40, 55, 30, 35, 50, 70
407, 60, 90, 70, 65, 125, 105
408, 67, 58, 125, 40, 30, 30
409, 97, 58, 165, 60, 65, 50
410, 30, 30, 42, 118, 42, 88
411, 60, 30, 52, 168, 47, 138
412, 40, 36, 29, 45, 29, 45
413, 60, 36, 59, 85, 79, 105
414, 70, 66, 94, 50, 94, 50
415, 30, 70, 30, 42, 30, 42
416, 70, 40, 80, 102, 80, 102
417, 60, 95, 45, 70, 45, 90
418, 55, 85, 65, 35, 60, 30
419, 85, 115, 105, 55, 85, 50
420, 45, 35, 35, 45, 62, 53
421, 70, 85, 60, 70, 87, 78
422, 76, 34, 48, 48, 57, 62
423, 111, 39, 83, 68, 92, 82
424, 75, 115, 100, 66, 60, 66
425, 90, 70, 50, 34, 60, 44
426, 150, 80, 80, 44, 90, 54
427, 55, 85, 66, 44, 44, 56
428, 65, 105, 76, 84, 54, 96
429, 60, 105, 60, 60, 105, 105
430, 100, 71, 125, 52, 105, 52
431, 49, 85, 55, 42, 42, 37
432, 71, 112, 82, 64, 64, 59
433, 45, 45, 30, 50, 65, 50
434, 63, 74, 63, 47, 41, 41
435, 103, 84, 93, 67, 71, 61
436, 57, 23, 24, 86, 24, 86
437, 67, 33, 89, 116, 79, 116
438, 50, 10, 80, 95, 10, 45
439, 20, 60, 25, 45, 70, 90
440, 100, 30, 5, 5, 15, 65
441, 76, 91, 65, 45, 92, 42
442, 50, 35, 92, 108, 92, 108
443, 58, 42, 70, 45, 40, 45
444, 68, 82, 90, 65, 50, 55
445, 108, 102, 130, 95, 80, 85
446, 135, 5, 85, 40, 40, 85
447, 40, 60, 70, 40, 35, 40
448, 70, 90, 110, 70, 115, 70
449, 68, 32, 72, 78, 38, 42
450, 108, 47, 112, 118, 68, 72
451, 40, 65, 50, 90, 30, 55
452, 70, 95, 90, 110, 60, 75
453, 48, 50, 61, 40, 61, 40
454, 83, 85, 106, 65, 86, 65
455, 74, 46, 100, 72, 90, 72
456, 49, 66, 49, 56, 49, 61
457, 69, 91, 69, 76, 69, 86
458, 45, 50, 20, 50, 60, 120
459, 60, 40, 62, 50, 62, 60
460, 90, 60, 92, 75, 92, 85
461, 70, 125, 120, 65, 45, 85
462, 70, 60, 70, 115, 130, 90
463, 110, 50, 85, 95, 80, 95
464, 115, 40, 140, 130, 55, 55
465, 100, 50, 100, 125, 110, 50
466, 75, 95, 123, 67, 95, 85
467, 75, 83, 95, 67, 125, 95
468, 85, 80, 50, 95, 120, 115
469, 86, 95, 76, 86, 116, 56
470, 65, 95, 110, 130, 60, 65
471, 65, 65, 60, 110, 130, 95
472, 75, 95, 95, 125, 45, 75
473, 110, 80, 130, 80, 70, 60
474, 85, 90, 80, 70, 135, 75
475, 68, 80, 125, 65, 65, 115
476, 60, 40, 55, 145, 75, 150
477, 45, 45, 100, 135, 65, 135
478, 70, 110, 80, 70, 80, 70
479, 50, 91, 50, 77, 95, 77
480, 75, 95, 75, 130, 75, 130
481, 80, 80, 105, 105, 105, 105
482, 75, 115, 125, 70, 125, 70
483, 100, 90, 120, 120, 150, 100
484, 90, 100, 120, 100, 150, 120
485, 91, 77, 90, 106, 130, 106
486, 110, 100, 160, 110, 80, 110
487, 150, 90, 100, 120, 100, 120
488, 120, 85, 70, 120, 75, 130
489, 80, 80, 80, 80, 80, 80
490, 100, 100, 100, 100, 100, 100
491, 70, 125, 90, 90, 135, 90
492, 100, 100, 100, 100, 100, 100
493, 120, 120, 120, 120, 120, 120
494, 100, 100, 100, 100, 100, 100
495, 45, 63, 45, 55, 45, 55
496, 60, 83, 60, 75, 60, 75
497, 75, 113, 75, 95, 75, 95
498, 65, 45, 63, 45, 45, 45
499, 90, 55, 93, 55, 70, 55
500, 110, 65, 123, 65, 100, 65
501, 55, 45, 55, 45, 63, 45
502, 75, 60, 75, 60, 83, 60
503, 95, 70, 100, 85, 108, 70
504, 45, 42, 55, 39, 35, 39
505, 60, 77, 85, 69, 60, 69
506, 45, 55, 60, 45, 25, 45
507, 65, 60, 80, 65, 35, 65
508, 85, 80, 110, 90, 45, 90
509, 41, 66, 50, 37, 50, 37
510, 64, 106, 88, 50, 88, 50
511, 50, 64, 53, 48, 53, 48
512, 75, 101, 98, 63, 98, 63
513, 50, 64, 53, 48, 53, 48
514, 75, 101, 98, 63, 98, 63
515, 50, 64, 53, 48, 53, 48
516, 75, 101, 98, 63, 98, 63
517, 76, 24, 25, 45, 67, 55
518, 116, 29, 55, 85, 107, 95
519, 50, 43, 55, 50, 36, 30
520, 62, 65, 77, 62, 50, 42
521, 80, 93, 115, 80, 65, 55
522, 45, 76, 60, 32, 50, 32
523, 75, 116, 100, 63, 80, 63
524, 55, 15, 75, 85, 25, 25
525, 70, 20, 105, 105, 50, 40
526, 85, 25, 135, 130, 60, 80
527, 65, 72, 45, 43, 55, 43
528, 67, 114, 57, 55, 77, 55
529, 60, 68, 85, 40, 30, 45
530, 110, 88, 135, 60, 50, 65
531, 103, 50, 60, 86, 60, 86
532, 75, 35, 80, 55, 25, 35
533, 85, 40, 105, 85, 40, 50
534, 105, 45, 140, 95, 55, 65
535, 50, 64, 50, 40, 50, 40
536, 75, 69, 65, 55, 65, 55
537, 105, 74, 95, 75, 85, 75
538, 120, 45, 100, 85, 30, 85
539, 75, 85, 125, 75, 30, 75
540, 45, 42, 53, 70, 40, 60
541, 55, 42, 63, 90, 50, 80
542, 75, 92, 103, 80, 70, 80
543, 30, 57, 45, 59, 30, 39
544, 40, 47, 55, 99, 40, 79
545, 60, 112, 100, 89, 55, 69
546, 40, 66, 27, 60, 37, 50
547, 60, 116, 67, 85, 77, 75
548, 45, 30, 35, 50, 70, 50
549, 70, 90, 60, 75, 110, 75
550, 70, 98, 92, 65, 80, 55
551, 50, 65, 72, 35, 35, 35
552, 60, 74, 82, 45, 45, 45
553, 95, 92, 117, 80, 65, 70
